"","song_id","title","release","artist_name","year"
"100662","SOJNUVJ12A8AE46BD1","Liebeslied","Reich & Sexy","Die Toten Hosen",1987
"148866","SOPUHZZ12AB0180E4C","Glorious One","We Shine","Fee",0
"10056","SOPUUAK12AB017C299","Maaye","Miss Pooja Live Concert","Miss Pooja",0
"69875","SOREPOD12A8C14325D","I Wanna Be Sedated (Live In Europe)","Made In England - Live In Europe","Guitar Gangsters",0
"114860","SORJLFJ12AB018157D","Mystery","Mystery / Revolution","Out Of The Past",2006
"155640","SOZUWXT12AB018EE5E","Third Eye","The Merchants of Propaganda","Bleeding Hearts",2002
"114271","SOBFPEH12AB0189F0F","Afrikka Siipien Alla","Maalla_ Merelld Ja Ilmassa","TOMMI LÄNTINEN",1995
"133874","SOZGADH12A6D4FC288","Pop Song","C.B.Radio","Carsten Bohn",0
"128954","SODHDBI12A8C142597","About Denial","The Disco and the What Not - Limited Edition","Rupesh Cartel",2007
"154527","SOLFNHI12A8C13F441","Ssssnake","Volta","Robot Needs Oil",0
"11631","SODXFAS12A58A7B24B","Sympathy For The Devil","Greatest Hits","Guns N' Roses",1994
"19014","SOCMTYS12A8C14387B","No Encontraras Quien Te Haga el Amor Como Yo","El Sentimiento del Latino En Nueva York","Angel Canales",1979
"48096","SOIPGXN12A58A7A9D3","Flesh Fever (Album Version)","Inside Yours","Gruntruck",1990
"94374","SOJFQSH12A8C136FA9","Nantucket Sleighride (To Owen Coffin)","Twin Peaks","Mountain",1995
"36759","SOUHDPK12AB0181475","Showmaster","Bambule","Absolute Beginner",1998
"136847","SOCGTIM12D021B1834","SOS","SOS","Rihanna",2006
"141292","SOKQIDC12A58A78367","Le présent","Le Présent","France D' Amour",0
"134809","SOHBTXW12A8C138528","I guarantee my love","The viceroys inna de yard","The Viceroys",2006
"29675","SOVKQBC12AB0186F19","Loving The Game (Feat. Planet Asia)","Hip Hopulation","Main Flow",2004
"122260","SOSXNTJ12A8C135B25","The Saddest Song","Live At The Metro","The Ataris",2003
"9872","SOLCSEH12A8C14429E","Adhd Love Me Not","ADHD Love Me Not","Samsaya",0
"170681","SONUTOO12A3F1EAC7E","Wake Up","Yellow Moon","Neville Brothers",1989
"38178","SOIMXHQ12A5891FE3E","Tempestade","Registros A Meia-Voz","Marina Lima",1996
"5568","SOUJSZL12AB01891C1","Seventh Planet Skit","We Are To Answer","Ancient Astronauts",2009
"16839","SOCQKZA12A8C137950","Jesus Is Love","Piano Prophet","Ben Tankard",2004
"160246","SONNUHU12A8C139F57","Rhythm And Blues","One Time","Mint Juleps",1992
"23497","SOCTQSV12A6D4F76CD","Chance Of A Lifetime","....If I Die_ I Die","Virgin Prunes",1993
"84737","SORSFCA12AB017D9CC","Up Early Reprise","I Need You","JennyAnyKind",0
"88475","SOPAWON12D021B44FB","See Who I Am (Album Version)","The Silent Force","Within Temptation",2004
"171730","SOHOWOH12AB018EA0C","Coscáin ar Bith","Ceol 10 Súil Siar","Declan O Rourke",0
"38773","SOFCFLX12A6D4F5979","San Juan Del Rio","15 Exitos-Chayito Valdez","Chayito Valdez",0
"11348","SOADHCR12AB0181712","No Return","The Metal Opera Pt. II","Avantasia",2002
"175427","SOKEPSH12AB017F5A4","Need Your Love So Bad","Georgie Does His Thing With Strings","Georgie Fame",2004
"37285","SOCAPAZ12A6D4FACF1","A Love Supreme Part I: Acknowledgement","Spiritual","John Coltrane Quartet",0
"4707","SOASIFD12A8C1444FE","Don't mess With Doctor Dream","The Pop Years 1984 - 1985","Thompson Twins",1985
"45057","SOVHQRY12AB0188458","I Am The Light","I Quit!","Moral Decay",0
"135648","SOYTXLO12A8C136860","Go Down Moses","Edge of the Swamp","Smokehouse",0
"72609","SOHBELQ12A8C13780D","Fight Dirty","Best Of Friends/Enemies","25 Ta Life",2003
"164224","SOMYVOO12A8AE46C84","Wango","A Night At Club Baobab","Orchestra Baobab",2006
"14375","SOUSOHG12A8C13DC8C","Idiot Country Two (AKA Ultimatum Mix)","Electronic (Special Edition)","Electronic",0
"182832","SOUXVFB12A6D4FA99B","I Had A Dream","Gathering Of The Faithful","Shark Island",2006
"59568","SOCFEIN12A8C1320E0","We're Back Together Again_ My Baby And Me","The Columbia Years:  1922-1940","Eddie Cantor",0
"195667","SOEROVP12AB018E428","Island In the West Indies","Best of Lena Horne","Lena Horne",1992
"139839","SOCZHDK12A3F1EB005","Dying To Survive","Sepia","Max Graham",0
"37132","SOWLOTS12AB01815CF","At The First Fall Of Snow","Deep In The Mountains","Longview",0
"132010","SOIFKRW12A6D4FADF4","1000 Scherben","Klartext","Planlos",2005
"161479","SOTJFRM12AB0184E18","The Greatest Thing","Walking In A Straight Line","The Mayflies USA",0
"163493","SOAOOYA12AB01807BA","The Things You Do To Me","Live From Across The Pond","The Robert Cray Band",2006
"95617","SOXVCGG12AB0187547","Gavotte","Biber:  Mensa Sonora","Heinrich Ignaz Franz von Biber",0
"172770","SOKLKEB12A58A780F1","Downtown The World","Downtown the World ","Critical Bill",2007
"108443","SOXECLI12AAF3B45FB","That's Me","Demolition Mission: Studio Blue Sessions","Cowboy Troy",0
"149322","SODIWBW12AB0181F96","This & Then","Z List Uber Star","John Askew",0
"19205","SOBUQVN12AB018A954","Keep A Knockin'","Tutti Frutti & Other Favorites (Digitally Remastered)","Little Richard",1957
"64840","SOBXWPJ12AB0184965","Joe Dallesandro","Jumping On Cars","Briskeby",2005
"170470","SOZQYBS12A8C138C1E","Dreaming With the Dead","Dreaming With The Dead","Ripping Corpse",1991
"3383","SOCMPGI12A58A80F56","Let Me In Your Life (Parts 1 & 2)","Winner Take All","The Isley Brothers",0
"141897","SOMOHDQ12A8C13D6EB","I'm Alone (Bonus Track)","Mervyn Nelson's 'The Jazz Train'","Bertice Reading",0
"86082","SOAQGMO12AB018AF45","Bin Kein Hauptmann_ Bin Kein Grobes Tier","Comedian Harmonists","Comedian Harmonists",0
"164131","SOUGPDL12A8C140F9A","Long Way Down","Long Way Down","Tom Demac",0
"180798","SOKBYPW12AF72A37D3","Thrive  (Newsboys Remixed Album Version)","Newsboys Remixed","Newsboys",2002
"6000","SOCKVKX12AB018F6AD","211 (feat. LEP Bogues Boys)","Five.K.One - Original Soundtrack","Yukmouth",0
"76777","SOINEFN12A6D4F9B55","mil velas (etnico)","Bailando con Lola","Azucar Moreno",0
"41619","SOBOFFK12A58A7BFC2","Slaughtered (LP Version)","Far Beyond Driven","Pantera",1994
"82815","SOAXKXX12AC90732D3","I want you so badly","What the city does to people","Ytheband",0
"124026","SOSVDDU12A6D4FA4A0","People Get Ready","Brassed Up","The Blues Band",2003
"44845","SOSPRUB12A8C1434D0","Soutoukou","Diario Mali","Ludovico Einaudi & Ballaké Sissoko",2003
"91665","SOZRBZA12AB018041B","I can't do it alone (album)","American Allstars","Clutch Player",0
"116261","SOPAUHJ12AB017C313","Things I Like To Do (Album Version)","Changing Horses","Ben Kweller",2009
"146180","SODRLBU12A81C219DD","Book Ends","The Smoker You Drink_ The Player You Get","Joe Walsh",1973
"176636","SONFMKT12AC3DF5B2A","A New Born Day (Original Mix)","ANANÉSWORLD","Anané",0
"47645","SOLLELR12A8C136C1E","Stablemates","The New Miles Davis Quintet","Miles Davis Quintet",1990
"33590","SOALSQW12A6D4F909A","Debussy : 12 Etudes : VII Pour les degrés chromatiques","Debussy : 12 Etudes_ Images Sets 1 & 2","Pierre-Laurent Aimard",0
"13177","SOULZVW12AB0185FB1","30 avec la bête","Baton Rouge","Baton Rouge",0
"105967","SONYOBM12AB017D0C8","It's You","Fat & Frantic- Last Night My Wife Hoovered My Head","Fat & Frantic",1990
"132378","SOKOCUN12AB0186847","Hipocresía","Mis Mejores Éxitos","Dinora_ La Juventud",0
"157889","SOGJEWU12AB018A7DB","Robe of White","When I Stop Dreaming","The Louvin Brothers",1992
"60037","SOXEVCN12AB01877BC","Andy Is A Corporatist","45 Revolutions Per Minute","Newtown Neurotics",0
"192426","SONHJFU12AB018D353","Counting out Time (Album Version)","A Tribute to The Lamb Lies Down On Broadway","Rewiring Genesis",0
"164505","SOUJBZP12A8C140706","Love Songs (2005 Digital Remaster)","The Ghost Of Cain (Bonus Content)","New Model Army",0
"2022","SOIEOIK12A8C1366F3","I Could Get You in JJ (Reprise) (Brian d'Arcy Jameswith Kelli O'Hara_ Jack Noseworthy & John Lithgow)","Sweet Smell of Success (Original Broadway Cast Recording)","Marvin Hamlisch;John Lithgow;Jeffrey Huard",0
"63283","SOFIBIT12AB01863AE","Roll Over Beethoven","The Legendary Sun Classics","Sleepy LaBeef",1996
"116364","SOFPODD12A8C13C68D","Lu Pisce Spada","Tutto Modugno 1","Domenico Modugno",2000
"119937","SOZWDMZ12A58A798C2","How Do You Do It","Me Gusta Que Te Guste","Liverpool",0
"184991","SOJVXKE12AC3DF566C","Ride The Pony","Ride The Pony","Peblab",0
"46098","SOEATLA12AC9070FA0","Open Ur Eyes","If It Takes 4Ever","Sug",0
"188905","SOYCDZP12A8C137F55","I Know","Welcome To My Playground","Landis",0
"151438","SOTWBOO12A8C13B850","Historic Site Of Scenic Beauty #1","Historic Site Of Scenic Beauty #1","The Wireless Stores",2004
"168346","SOMVZEE12AB017F3EE","No Future Part Two: The Days After No Future","The Airing of Grievances","Titus Andronicus",2008
"119119","SOKSHZZ12AB01867E1","Heard It Was A Rumor","Blacc Balled","Lil C-Style",0
"47793","SOWVPVJ12AB017C299","Call On Me","Vasquez","Andrew Vasquez",0
"138019","SOVPWNS12AAF3B4B13","J'Ecris Des Chansons","Best Of Solo","Marc Lavoine",0
"15945","SONNQWD12AC3DF9D1D","You took me","At last","Screamin' Jay Hawkins",1998
"17111","SOTQAQC12A8AE4547A","IVR the Friendly Voice","Hinterland","Mint",0
"104683","SOZNQOG12AAF3B47FF","Wo bleibt das Happyend","Hit Mix Vol. 2","Michael Wendler",0
"70708","SOHEICR12AB01860AE","When You Cry (Album Version)","Return","The Winans",0
"50457","SOZRAXV12A8C139ED3","Imitator Version","Split","Bug/Rootsman/Daddy Freddy/DJ Rupture",0
"30319","SOESGRF12AB0188193","A Robinsong (Album Version)","Burchfield Nines","Michael Franks",1978
"86349","SOEJDJR12AAF3B2F4C","MFBQ","ThrillVille","Rod Piazza",0
"165041","SOCOZBM12A8C1341E0","Feeling Good Is Everything (Original)","Feeling Good","Coldfeet",2007
"70740","SOYRGRV12AB01880F0","Put It On Tape","Blow Your Headphones","The Herbaliser",1997
"60050","SOECOAO12AB018AC3B","Error Metal","Future Electronica","Si Begg",0
"158229","SOFQAOB12AB017F76C","Jolly","Trainer","Atypic",0
"168167","SOMQMXQ12AB018764D","You Ain't The One","The Sue Story","Jackie Brenston & His Delta Cats",0
"108994","SOVBVZZ12A6D4F746F","Oh Pretty Woman","Still Got The Blues","Gary Moore",1990
"68225","SOADYVX12A8A9D9462","We Ride","We Ride","Rihanna",2006
"182041","SONTXDR12AB0185623","Here We Come A Wassailing (#1)","A Christmas Kind of Town","Marah",2005
"143553","SOBWMMK12AB0181CDE","You're So Understanding","Solitaire","Dean Martin",1999
"124271","SOESCZD12A8C1376FA","Fuseli (2005 Digital Remaster)","More Music For Films","Brian Eno",2005
"108497","SOOHWPS12AB018863E","Le tour du monde en 80 mesures","Puzzle","Puzzle",0
"31002","SOZUIUU12AB0181CCD","Everything's Overrated","Heartsickle","The Unlovables",2007
"104504","SOFAFOU12A6D4FA488","Over The Wall (Live Version)","Dont Let It Get You Down","Echo And The Bunnymen",0
"170943","SOJXPWQ12A8C13707E","Freedumb","Liberal Animation","NOFX",1988
"165848","SOGUQLI12CF5F88BB7","Master Exploder","The Pick Of Destiny","Tenacious D",2006
"184057","SOKAAGH12A8C142FCD","La Melodie","Divinidylle Tour","Vanessa Paradis",0
"52493","SOMTFYY12AB017F313","She Did It","Boats Against The Current","Eric Carmen",1975
"101215","SOVBVXM12AC3DFA02B","Don't Feel So Blue On Christmas","Wintertime","Thomas Battenstein",0
"154434","SOZUKTT12A67ADE335","Oesophage-Boogie Cardiac'blues","BBH 75","Jacques Higelin",0
"98728","SOOOROB12AC3DF60DD","Born To Lose","Chatham's Burning","The Pop Rivets",0
"21819","SOLNJIB12A8C137833","Pimpin' Aint No Illusion","Jive Records Presents: UGK - Chopped & Screwed","UGK featuring Kool Ace & Too Short",0
"9252","SOSDWNQ12AB0189DCB","Jah Jah's people","The Good_ The Bad & The Blazing","Junior Kelly",0
"139006","SOJPQQH12AB017F35A","Ohh La La La (Let's Go Dancing)","Kool And The Gang - Greatest Hits","Kool And The Gang",0
"14155","SOBUWKM12AB0184C0D","Giles","Alive From The Apocalypse","Unearth",2006
"124496","SOJSWSC12A58A7D5CB","Colour Deficiency In British Birds","Forward!","I Am Spartacus",2002
"127132","SOLFWWX12A8AE48738","I Feel Good","Cecilia","Suggs",0
"74804","SOTGMNL12A8C142AA6","Hey (L-Vis 1990 Remix)","Hey","Laidback Luke & Diplo",0
"30546","SOREKHT12AB0186F11","Ho's A Housewife","Tha Streetz Iz A Mutha","Kurupt",1998
"15585","SONCRGC12A8C1363FA","And I Love Her","Beatles songs for Babies","The Lullaby Orchestra",0
"188543","SOTVDET12A67ADC7E5","Oceans Rise","Origin","Borknagar",1998
"108247","SOCWQAH12A58A78574","Calling For You Again (LP Version)","Some Things Don't Come Easy","England Dan & John Ford Coley",1978
"149253","SOAXAKJ12A8C13CE14","I Want Nothing","I Want Nothing","The Black Ghosts",2008
"84128","SOYYMYT12A58A7BCEA","Braver Newer World (LP Version)","Rhino Hi-Five: Jimmie Dale Gilmore","Jimmie Dale Gilmore",0
"85720","SOKBFJW12AB01876FA","Clockwork","Meander","Carbon Leaf",1996
"133625","SOWRCEK12A8C13BDE5","Grace","Fuzzy","Grant Lee Buffalo",1993
"175811","SODHZAR12AB0187E98","Solo Es Un Minuto","Primera Toma","La 5A Estacion",0
"158046","SODZWIU12A58A7FB15","Future's Bright Man","It Hates You","He Is Legend",2009
"51823","SOKXKRA12A8C13910F","Tomboy","The Best Of","Perry Como",1999
"41813","SOAVCIG12AC3DF55A4","Dancing In La [hollywood Boys Remix]","Autumn Never Leaves","Bobby",2008
"84369","SOATPLA12AB017DC89","Amarsi Un Po'","Battisti II","Tiziana Ghiglioni",0
"27995","SOBAAVW12A8C131FDA","Something To Be Proud Of","Pickin' On Montogomery Gentry: A Bluegrass Tribute Volume 2","Pickin' On Series",0
"156338","SOEDKCS12AB0185731","It Could Happen to You","America Calling","Eye To Eye",0
"145366","SOMSAWM12AB01829F5","At Your Feet - Demo","At Your Feet","Casting Crowns",0
"73209","SOWZXJY12A8C134801","Captain Labrador's Unceremonious Disengagement","The Criminal Record","Mark 1",0
"180243","SOHZNQK12AB0185FF8","Gotta Walk_ Can't Sleep ","The Big Hurt","Toni Fisher",0
"66034","SORCQRX12AF72AC4CC","Last Caress","Static Age","The Misfits",1980
"50011","SOJXKSH12AB01834E1","Lust For Power","Fuck Texas_ Sing For Us","New Model Army",1990
"29478","SOVAHPY12A58A7A6BD","Don't Take Your Love From Me","Clown Jewels - The Ace (MS.) Masters 1956 - 75","Bobby Marchan",0
"125453","SOSKBHS12AB0186605","Rust In Hell","Acid Muzik / Rust In Hell","JP & Jukesy Vs Daley",0
"136011","SOHCXWO12A8AE48055","Galletas integrales","Lendakaris Muertos","Lendakaris Muertos",2005
"109795","SORPURT12A6D4FA181","Jerusalem On The Jukebox","Amnesia","Richard Thompson",1988
"119579","SOCBRZI12AB0185EFE","Warning","Warning / Come On","Dancefloor Rockaz",0
"27","SOEEHEY12CF5F88FB4","I'm Ready","Honkin' On Bobo","Aerosmith",2004
"101166","SODVPMS12A8C13C631","You Are My Fortress (Album Version)","Start All Over","Helen Baylor",0
"67804","SOCSXPO12AB0187855","Poor Wayfaring Stranger","I Saw the Light: White Spirituals & Country Gospel - Roots Collection Vol. 12","Almeda Riddle",1997
"131258","SOJTKVS12AB017DB96","Love Won't Get Any Better","Mended","Marc Anthony",2002
"132260","SOVMIMZ12A8C135466","Relentless","War","Born From Pain",2006
"55504","SOZBPQK12AB018A5C7","Le monde est à toi","Nos rêves","Les Petits Chanteurs de Saint-Marc",0
"187320","SOSZYBY12A8C143E85","Zaran Tulah","13","Ah Cama-Sotz",0
"54118","SOYEHSF12A8C13FDE7","Savage Heart","Jump The Gun","Pretty Maids",1990
"92217","SORZRZO12AC468B4FB","I'm Coming Home","Who's Got the Power","Marvin Sease",0
"40585","SOYAHFN12AB018E569","Eighties '09","Rulers of the dumb - best of 2009","Claes Rosen",0
"125838","SOPXDIX12AB0185DD4","Playa Hata","Keepin It Real","C-Block",0
"103993","SOOKHGK12A6D4F3E66","Crossroads","One More From The Road","Lynyrd Skynyrd",1976
"184604","SOSNDJE12A58A7C336","Magician Man (BBC In Concert)","BBC In Concert (30th May 1983_ Live at the Hammersmith Odeon)","Kajagoogoo",0
"166204","SOCAIPV12A8C142DDA","Hair Dressin' Women","Maybelle's Blues","Big Maybelle",0
"125097","SOLRLGG12AB01883A4","Little Lies","What We Want_ What We Get","Dave Barnes",2010
"5687","SOGRAGO12A58A7A9C3","What Do You Know (About Love)","Jump Jack Jump!","Wynona Carr",0
"76223","SOOWZLA12A8C13359E","Moscow Fever","BalkanBeats Volume 3","Slonovski Bal",2007
"110294","SOVSGCA12A8C141F7E","Urban Struggle","Jackass Number Two (OST)","The Vandals",1982
"151572","SOYFYWJ12A6D4FB0AE","Don't Stop","Don't Stop","Brazilian Girls",2004
"120703","SOWYWYA12A6D4F8E26","Back To The Start","Razorlight","Razorlight",2006
"17916","SORJAYM12A6D4FB094","Deliverance (Album Version)","Destroy The Machines","Earth Crisis",1995
"157125","SOGLUFU12AC468D3E1","Fear Me Now (LP Version)","The Gufs","The Gufs",0
"133515","SOESKRT12AB01874CF","Slet Ikke Dig","Nye Optagelser","Nikolaj Nørlund",1997
"66113","SOMNNXZ12AB018560D","Si nos dejan","Mexico Gran Colección Ranchera - Luis Aguilar","Luis Aguilar",0
"20841","SOTTZXI12AB017F9B8","Apocalyptic Riders","Death Is Glory... Now!","Reverend Bizarre",2004
"42624","SOGYOPD12A8C13B971","Así Es La Noche","Sigo Aquí","Carlos Varela",0
"146735","SOACQFD12A8C141D37","Suite No 2 In D Minor: Minuetto I & II","Bach Cello Suites 1&2","Pablo Casals",0
"82197","SOASHCY12A6D4F666D","Esposa","Autentico","Oscar D'León",1997
"122274","SOMWZBJ12A58A79201","Hard To Say","Autumn Fallin'","JayMay",2008
"73308","SOJXAQU12AB0185B40","¡¡ Cómo hueles !!","CD Multibandas","Taquicardia",0
"5984","SONRXGK12A8C132159","Let Go Control","Voices","Saosin",2006
"233","SOKVLUT12A6D4F79FC","Please Set Me At Ease","Blue Break Beats","Bobbi Humphrey",1975
"64602","SOEGORA12AB0186902","Psi Breed","Weird Sound Generator","DARK NEBULA",0
"142939","SOBKSFZ12AB017FCBB","Night in Tunisia","Dizzy In South America Volume 3","Dizzy Gillespie",1978
"104254","SOVFSNH128CB7BFD73","BLEEDS NO MORE (LP Version)","18 CANDLES: THE EARLY YEARS","Silverstein",2006
"125870","SOZWNHD12AB017CB72","To The Love Within (Album Version)","Surfing","Megapuss",2008
"30209","SOOSNIK12A8C1412A1","Still Be Lovin' You (Marvel & Eli Ready To Roll Mix) (Feat. MC Romeo)","Still Be Lovin' You","Damage Featuring MC Romeo",0
"72343","SOAUCHN12AB018A619","Who Did It?","Who Did It To Michelle Waters?","Mechanical Poet",0
"119339","SOGVBZO12A8C14132B","Shiver Me Timbers","1.21 Gigawatts","Mercy Mercedes",2008
"149674","SOPGBPU12AAA8C6716","National Security","The Day The Earth Stood Still","Tyler Bates",2008
"163024","SOVTDAG12AB0186F91","Cosmic Noise","Dark Orbit","Heinrichs & Hirtenfellner",0
"22869","SORJGHO12A8C1421BA","Heart And Soul","Good Times","Adam Rickitt",1999
"137935","SOMYRCU12A6D4FAC97","Enough For You","Angels Never Die","Doro",1993
"114101","SOYJPLA12AB0181E4E","Acidlab","The One-T ODC","One t",2002
"125495","SOLTZLJ12A6D4F777B","Further From Myself","Fireproof","Pillar",2003
"195469","SOCEUAA12A8C140A84","Mitsubitchi","Mitsubitchi (Bobermann Remix)","The Subs",2010
"52977","SOFZHOH12AB0187671","Hammerhead","All Time Low","Know the Score",0
"189573","SOVMDAJ12AC46895BE","Trio Sonata: 2. Musette","Handel: Gloria","Suzie Leblanc",0
"40187","SOCGKSE12A8C13F6EB","Piff Iz Da Answer","Road To The Riche$ - The Best Of The Purple City Mixtapes","Purple City",0
"139197","SONRFCU12AB017F4A3","Come And Get Me Girl","With Love From...","The Hit Parade",1988
"112530","SOVYMTZ12A6D4F8F87","Sanson Ki Mala Mein","Love Songs","Nusrat Fateh Ali Khan",0
"45067","SOKNSYZ12AAF3B4616","Sorgar Rajeant","Sorgar Rajeant","Lorna",0
"188935","SOMUIND12A8C13BBCC","My Start In Wallsend","Goodbye","Dubstar",0
"46891","SOEUFBH12A8C13CD28","Ironside","Mojo Rocksteady Beat","Jackie Mittoo and Sound Dimension",0
"188910","SODYDJD12AB0188A5F","Close Call Skit","Shinin N Grindin","E.S.G.",0
"48447","SORFZHH12A8C13957C","Tramps And Thieves","A Bit Of What You Fancy/Bitter Sweet And Twisted","The Quireboys",1997
"182711","SOEEHFA12AB0186703","The Glow","The Colossus","RJD2",2010
"107493","SOXIUCZ12A8C138384","Jimmy's Delicate Condition","The Luxury Of Hysteria","Tim Rogers",2007
"116516","SOJSZHZ12AB018619D","Beat Zero (feat. Adam Franklin/Swervediver)","Dreams Suspend Night","Head Like a Kite",2010
"121195","SOLVIMU12AB0183DE1","La Virgen de la Macarena","Acapulco","Tito Puente",0
"116971","SODNCZT12A6D4F95FC","Sweet Love","It Takes Two","Soulsister",2007
"186230","SOBXOOS12AB0188FA0","Contrincante","C'étaient de très grands vents","Shub-Niggurath",1991
"6249","SOBFTKG12AB017C91D","Casey","Under A Killer Blue Sky","Jupiter Sunrise",2003
"29159","SOYHICH12A8C14290B","If I Show You I Can Dance","The Best Of Barry Blue","Barry Blue",2002
"79698","SOCRRFI12A6D4FD10D","Threshold (Album Version)","Caustic Grip","Front Line Assembly",1990
"179088","SOBTTEJ12A8C138C3A","La Città Vecchia","Canzoni","Fabrizio De Andrè",1965
"65425","SOMGKCP12AB017F225","Albert","Fanfare in the Garden","Essential Logic",1979
"81928","SOTDZHG12AB01857FD","Hillbilly soul mind and a rockabilly","Who are these maked men ?","Doug Sahm and the Texas Mavericks",0
"191968","SOUMEDA12A8151D2FB","Mans Ruin","Flores De Sangre","Greatdayforup",2005
"172639","SOJEMXW12A81C239D0","All For One","Seven Seals","PRIMAL FEAR",2005
"31630","SOLJKGN12A8BED7516","You're A Lady","Tuneweaving","Tony Orlando & Dawn",1973
"22602","SOLAUVH12A67020602","Pillory-like","Closer","Beady Belle",2005
"122851","SOXKIEL12AAFF4336E","Im Wired_ Wired_ Wired","And I Mean It","Genya Ravan",0
"52392","SOAIHCL12A8C133594","Murda Murda","Ritual Of Battle","Jedi Mind Tricks Presents: Army Of The Pharaohs",0
"132424","SOCMGOV12AB018707F","You Never Cry Like A Lover","Live! (Digitally Remastered)","The 5th Dimension",1987
"158313","SOWBBAZ12A8C132F11","Bad Luck","Super Hits","Harold Melvin & The Blue Notes",1975
"174669","SOVIVKL12A8C13810A","Power (Velocity Edit)","Overflow","Razed in Black",1997
"5485","SOUPFGK12A58A78F0D","Nobody's Diary","Nobody's Diary","Sunset Project",0
"40171","SORDMSA12AB017FA19","Jig / Kid on the Mountain","Calling The Oceans By Name","Tin Cup Prophette",0
"107115","SOHLGYI12AB0181883","The Real Meaning Of Christmas (Album Version)","Decisions","The Winans",0
"190620","SODDTGC12AAFF4335B","Lloraras","El Dueno Del Flow","Omega",0
"9608","SOLKSNG12AB01870A3","Say It Isn't So (live)","Live In Concert","Hall & Oates",2003
"161199","SOHYNLC12A8C13AA03","Against The Grain (Album Version)","All Ages","Bad Religion",1995
"123181","SOZQJGR12A6D4F8D52","Another Won [Live]","Score: 20th Anniversary World Tour Live with the Octavarium Orchestra","Dream Theater",0
"58207","SODHYGQ12AB0188286","Tarantula (Album Version)","Tarantula","Smashing Pumpkins",2007
"100148","SOXBZNG12AB0183565","Sure Feels Good (From the album Brand Loyalty)","Itchy Feet + Brand Loyalty","The Blues Band",0
"138661","SOMSBOF12A8C1456E9","Inside I Divide (Album Version)","Majority Of One","Number One Son",0
"180422","SONMUIA12AB01845E7","Olive_ My Daze (Feat. Kut Kaper)","Peasant","Bread",0
"98846","SOYGDLI12AB018C2D2","Sei oide Bluesgitarr'","Herz im Süden","Michael Dietmayr",0
"56873","SOCUDCM12A6D4FB6C1","Me + You = Breakdown","After The Fall","After The Fall",0
"109309","SOFLYNJ12AB0187323","How Yall Feel","Code Chill","GENUINE CHILDS",0
"85867","SOLGIWB12A58A77A05","Reelin' In The Years","The Definitive Collection","Steely Dan",1972
"9570","SONXSGB12A6D4FAAC2","Armadillo","Victimas Del Doctor Cerebro","Victimas Del Doctor Cerebro",0
"27802","SOVORBP12A6D4FC266","Cold Sweat","Lost Boys","M.I.A.",0
"147047","SOBULSZ12A6D4FA4E3","Precious Pain","Melissa Etheridge","Melissa Etheridge",1988
"120031","SOBCQFU12AB018455A","Yo Si Pude Adorarte","Vallenatos De Platino Vol. 7","Ivan Villazon",0
"67748","SOQUEJZ12AB018524A","No Angel (Original)","No Angel","Benjamin Bates",0
"182630","SOLAPXQ12AC3DF5C58","La Musa","En Caliente","Los Visitantes",1994
"143005","SONPIQG12A58A7EBDA","Taxi Driver","Rastafari Centennial: Live In Paris - Elysee Montmartre","Steel Pulse",1991
"144101","SOQNVPF12A3F1EB1A4","Minutes To Midnight","Red Sails In The Sunset","Midnight Oil",1984
"92416","SOOXAPL12AB017FEA1","Come Together (Original)","Do What You Want To Do","Willie Bobo & The Bo Gents",0
"110025","SOKLKAX12AB0181F0A","Rot","Sternenmarsch","Advocatus Diaboli",0
"56787","SOTFGVW12A8C13EC48","End Of The Evening","At The End Of The Evening","Nightnoise",0
"12250","SODXZKC12A8C13C482","Nonsense To You_ Everything To Us","Glasseater","Glasseater",2002
"103734","SOMKRCE12AB0187C95","Crowded Room","Walking In a Shadowless Land","Realm",0
"105604","SOHSPAI12AC3DF8185","Black Rat Swing","Richmond Blues","Cephas & Wiggins",0
"33975","SOSSOYL12AB018E7BF","Where in the World Are You?","Some Cats Know: Songs Of Peggy Lee","Jeanie Bryson",2003
"79794","SOPZDLL12A8C140D81","I Am The True Vine","Demons & Angels: The Ultimate Collection_ Part 2","Reverend Gary Davis",0
"145651","SOBSJJH12A8C145404","Beato te","L'Italia... e altre storie","Marco Masini",0
"28302","SOOCBMF12AF72A063A","Make You A Believer","Racine","Sass Jordan",1992
"2613","SOTDNVV12AB0181275","He Don't Love Me Anymore","Today I Sing The Blues","Helen Humes",0
"81703","SOHQYEW12AC95F04A0","Glory Is Rising","The Saving One","Starfield",2010
"85644","SOLMSRR12A8C1345AC","Visa pour les beaux jours","Les indispensables","Céline Dion",1982
"82128","SOCMKAT12AC468C03A","Dom Quixote","Acústico MTV - Engenheiros Do Hawaii","Engenheiros Do Hawaii",2003
"30098","SOLNJKL12A58A79AEB","Woop Woop","The Chop","The Chap & Hot Chip",0
"135430","SOIZMKP12A8C136C67","Yesterday's News","Rock The Night - The Very Best Of Europe","Europe",1991
"59921","SOZGFHV12A8C1347E1","Old #7","Only DBS Is Pure Bodybilly","DBS",0
"47144","SOSWAQM12A8C13849D","High Hopes","The Ultimate Connie Set","Connie Francis",2004
"30086","SOYDBYO12A6D4FD4D0","The Waiting","The Sleepy Strange","Japancakes",2001
"111194","SOVSNWJ12AB0182745","The Formless Sphere (Beyond The Reason)","Memoria Vestusta II - Dialogue With the Stars","Blut Aus Nord",2009
